@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2}

@data
865,'2026/04/25 17:23:35:792',2,0.003015,0.00122,0.000362,0.000272,0.000238,0.000197,0.000221,0.000135,0.000217,0.000192,0.000314,0.000123,1
866,'2026/04/25 17:23:35:825',2,0.002971,0.001151,0.000345,0.000257,0.000223,0.000181,0.000202,0.000128,0.0002,0.000187,0.000302,0.000124,1
867,'2026/04/25 17:23:35:860',2,0.00293,0.001066,0.000324,0.000232,0.000197,0.000162,0.000175,0.000113,0.000179,0.000175,0.000276,0.000119,1
868,'2026/04/25 17:23:35:894',2,0.003248,0.000987,0.00031,0.000208,0.000171,0.000147,0.000162,0.000112,0.000162,0.000171,0.000253,0.000119,1
869,'2026/04/25 17:23:35:928',2,0.003312,0.000904,0.000288,0.000186,0.00015,0.000129,0.00014,0.000106,0.000149,0.000159,0.000231,0.000113,1
870,'2026/04/25 17:23:35:959',2,0.003206,0.000858,0.000273,0.000171,0.000136,0.000117,0.000121,0.000104,0.000133,0.000151,0.000209,0.000108,1
871,'2026/04/25 17:23:35:992',2,0.003042,0.000816,0.000263,0.000161,0.000123,0.000107,0.000113,0.000101,0.000124,0.000152,0.000192,0.000105,1
872,'2026/04/25 17:23:36:025',2,0.002907,0.000772,0.000258,0.000151,0.000112,0.000101,0.000107,0.000097,0.000121,0.000156,0.000184,0.000103,1
873,'2026/04/25 17:23:36:061',2,0.002954,0.000738,0.000255,0.000146,0.000109,0.000096,0.0001,0.000094,0.000121,0.000156,0.00018,0.000103,1
874,'2026/04/25 17:23:36:094',2,0.00335,0.00071,0.000253,0.000143,0.000103,0.000095,0.000095,0.000094,0.000121,0.00016,0.000186,0.000101,1
875,'2026/04/25 17:23:36:125',2,0.003388,0.000716,0.000245,0.000131,0.000101,0.000093,0.000092,0.000089,0.000119,0.000158,0.000174,0.000095,1
876,'2026/04/25 17:23:36:159',2,0.003431,0.000676,0.000244,0.000126,0.000097,0.000092,0.000089,0.000093,0.000114,0.000153,0.000174,0.000096,1
877,'2026/04/25 17:23:36:192',2,0.003463,0.000685,0.000242,0.000128,0.000103,0.000093,0.000087,0.000097,0.000116,0.000155,0.00017,0.000097,1
878,'2026/04/25 17:23:36:226',2,0.003335,0.000678,0.000243,0.000131,0.000101,0.000096,0.000083,0.000095,0.000111,0.000155,0.000169,0.0001,1
879,'2026/04/25 17:23:36:259',2,0.003217,0.000708,0.000244,0.000127,0.000098,0.000094,0.000085,0.000091,0.000111,0.00015,0.000174,0.000102,1
880,'2026/04/25 17:23:36:292',2,0.003023,0.000687,0.000245,0.000131,0.000099,0.000094,0.000084,0.00009,0.000113,0.000149,0.000177,0.000099,1
881,'2026/04/25 17:23:36:326',2,0.003067,0.000692,0.000239,0.000137,0.000102,0.000093,0.000084,0.000091,0.000112,0.00015,0.000177,0.000099,1
882,'2026/04/25 17:23:36:358',2,0.003033,0.000683,0.000247,0.000139,0.000101,0.000092,0.000084,0.000091,0.000114,0.000151,0.000177,0.0001,1
883,'2026/04/25 17:23:36:392',2,0.002975,0.000644,0.000242,0.000136,0.000097,0.000091,0.000084,0.000088,0.000109,0.000153,0.000172,0.000099,1
884,'2026/04/25 17:23:36:427',2,0.003028,0.000658,0.000249,0.000146,0.000158,0.00013,0.000087,0.000086,0.000109,0.000149,0.000172,0.0001,1
885,'2026/04/25 17:23:36:459',2,0.003025,0.000687,0.000259,0.000167,0.000265,0.000165,0.000091,0.000088,0.000108,0.000146,0.000176,0.000098,1
886,'2026/04/25 17:23:36:492',2,0.002935,0.000712,0.000265,0.000188,0.000318,0.000168,0.000092,0.00009,0.000106,0.000143,0.000179,0.000096,1
887,'2026/04/25 17:23:36:527',2,0.002845,0.000729,0.000268,0.00019,0.000297,0.000153,0.00009,0.000092,0.000102,0.000144,0.000176,0.000093,1
888,'2026/04/25 17:23:36:559',2,0.002753,0.000757,0.000266,0.000181,0.000253,0.000134,0.000087,0.000093,0.000099,0.000142,0.000171,0.000095,1
889,'2026/04/25 17:23:36:594',2,0.002549,0.000769,0.000264,0.000172,0.000217,0.000126,0.000086,0.00009,0.000104,0.000137,0.000169,0.000096,1
890,'2026/04/25 17:23:36:627',2,0.002511,0.000754,0.000255,0.000172,0.000189,0.000121,0.000085,0.00009,0.000103,0.000142,0.00017,0.000095,1
891,'2026/04/25 17:23:36:660',2,0.002549,0.000762,0.000269,0.000167,0.000169,0.000108,0.000085,0.000089,0.000108,0.000142,0.000167,0.000095,1
892,'2026/04/25 17:23:36:695',2,0.002627,0.000752,0.000269,0.000166,0.000154,0.000104,0.000085,0.000092,0.000107,0.000144,0.000162,0.000096,1
893,'2026/04/25 17:23:36:728',2,0.002662,0.000749,0.000265,0.000161,0.000138,0.000097,0.000082,0.000093,0.000109,0.000146,0.000157,0.000094,1
894,'2026/04/25 17:23:36:760',2,0.002716,0.00073,0.000259,0.000153,0.000129,0.000096,0.000082,0.000093,0.000108,0.00015,0.000154,0.000095,1
895,'2026/04/25 17:23:36:794',2,0.002794,0.000744,0.000264,0.000151,0.000118,0.000092,0.000081,0.000093,0.000108,0.000153,0.000162,0.000098,1
896,'2026/04/25 17:23:36:828',2,0.002704,0.000991,0.000332,0.000169,0.000128,0.000092,0.000088,0.000098,0.000107,0.000157,0.000171,0.000098,1
897,'2026/04/25 17:23:36:860',2,0.016952,0.023463,0.003482,0.002716,0.002117,0.000431,0.001002,0.00101,0.000584,0.001313,0.000947,0.000374,1
898,'2026/04/25 17:23:36:894',2,0.035467,0.038385,0.006259,0.005266,0.004333,0.000958,0.001939,0.002037,0.001368,0.002501,0.001964,0.000859,1
