@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2026/05/06 08:40:58:916',1,0.000082,0,1
2,'2026/05/06 08:40:58:947',1,0.000063,0,1
3,'2026/05/06 08:40:58:981',1,0.00006,0,1
4,'2026/05/06 08:40:59:014',1,0.000173,0,1
5,'2026/05/06 08:40:59:046',1,0.000237,0,1
6,'2026/05/06 08:40:59:080',1,0.000089,0,1
7,'2026/05/06 08:40:59:115',1,0.000051,0,1
8,'2026/05/06 08:40:59:146',1,0.000074,0,1
9,'2026/05/06 08:40:59:182',1,0.000166,0.000001,1
10,'2026/05/06 08:40:59:215',1,0.000148,0.000001,1
11,'2026/05/06 08:40:59:247',1,0.000025,0,1
12,'2026/05/06 08:40:59:279',1,0.000008,0,1
13,'2026/05/06 08:40:59:312',1,0.000011,0,1
14,'2026/05/06 08:40:59:347',1,0.000183,0,1
15,'2026/05/06 08:40:59:381',1,0.000269,0.000001,1
16,'2026/05/06 08:40:59:415',1,0.000248,0.000001,1
17,'2026/05/06 08:40:59:448',1,0.000175,0,1
18,'2026/05/06 08:40:59:481',1,0.000042,0,1
19,'2026/05/06 08:40:59:514',1,0.000029,0,1
20,'2026/05/06 08:40:59:546',1,0.000012,0,1
21,'2026/05/06 08:40:59:583',1,0.000034,0,1
22,'2026/05/06 08:40:59:615',1,0.000058,0,1
23,'2026/05/06 08:40:59:648',1,0.000072,0,1
24,'2026/05/06 08:40:59:681',1,0.000078,0,1
25,'2026/05/06 08:40:59:714',1,0.000071,0,1
26,'2026/05/06 08:40:59:748',1,0.000013,0,1
27,'2026/05/06 08:40:59:779',1,0.000062,0,1
28,'2026/05/06 08:40:59:813',1,0.000224,0.000001,1
29,'2026/05/06 08:40:59:848',1,0.000135,0,1
30,'2026/05/06 08:40:59:887',1,0.000035,0,1
31,'2026/05/06 08:40:59:918',1,0.000029,0,1
32,'2026/05/06 08:40:59:948',1,0.000238,0.000001,1
33,'2026/05/06 08:40:59:982',1,0.000165,0,1
34,'2026/05/06 08:41:00:016',1,0.000115,0,1
35,'2026/05/06 08:41:00:048',1,0.000026,0,1
36,'2026/05/06 08:41:00:082',1,0.000016,0,1
37,'2026/05/06 08:41:00:115',1,0.000134,0,1
38,'2026/05/06 08:41:00:152',1,0.000114,0,1
39,'2026/05/06 08:41:00:201',1,0.000045,0,1
40,'2026/05/06 08:41:00:233',1,0.000058,0,1
41,'2026/05/06 08:41:00:264',1,0.000081,0,1
42,'2026/05/06 08:41:00:298',1,0.00005,0,1
43,'2026/05/06 08:41:00:339',1,0.000081,0,1
44,'2026/05/06 08:41:00:384',1,0.000008,0,1
45,'2026/05/06 08:41:00:418',1,0.000007,0,1
46,'2026/05/06 08:41:00:452',1,0.000007,0,1
47,'2026/05/06 08:41:00:484',1,0.000008,0,1
48,'2026/05/06 08:41:00:518',1,0.000008,0,1
49,'2026/05/06 08:41:00:552',1,0.000011,0,1
50,'2026/05/06 08:41:00:584',1,0.000012,0,1
51,'2026/05/06 08:41:00:618',1,0.000013,0,1
52,'2026/05/06 08:41:00:652',1,0.000013,0,1
53,'2026/05/06 08:41:00:684',1,0.000012,0,1
54,'2026/05/06 08:41:00:716',1,0.00001,0,1
