@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2026/05/06 10:37:39:970',1,0.655998,0.774315,0,0.602782,0.749875,-0.022923,0.553599,0.717289,-0.038766,0.512383,0.696504,-0.054469,0.476736,0.691368,-0.071322,0.59875,0.611423,-0.019952,0.579309,0.548026,-0.032885,0.56857,0.507001,-0.045684,0.560554,0.472237,-0.056033,0.634877,0.597549,-0.020599,0.633576,0.525822,-0.028258,0.631877,0.482326,-0.036818,0.631211,0.448524,-0.045204,0.668721,0.605721,-0.024584,0.680576,0.545001,-0.033969,0.687753,0.507286,-0.044207,0.69346,0.475984,-0.05292,0.697021,0.629791,-0.031235,0.72264,0.595467,-0.039988,0.739133,0.571277,-0.045328,0.752165,0.548362,-0.049973,1,0,0
2,'2026/05/06 10:37:40:001',1,0.655341,0.774596,0,0.60287,0.751264,-0.02357,0.553702,0.718396,-0.040021,0.512025,0.697182,-0.056148,0.476279,0.691408,-0.073404,0.598119,0.611295,-0.022223,0.57922,0.547771,-0.036012,0.568504,0.506784,-0.049166,0.560377,0.471846,-0.059713,0.634584,0.597204,-0.02265,0.633282,0.525811,-0.03114,0.631537,0.482791,-0.039811,0.630724,0.448924,-0.048214,0.66862,0.605465,-0.026331,0.680699,0.544917,-0.036601,0.687858,0.508441,-0.0466,0.693522,0.477601,-0.054976,0.697058,0.629818,-0.032661,0.722813,0.595141,-0.04218,0.739502,0.571274,-0.047537,0.752732,0.548411,-0.052043,1,0,0
3,'2026/05/06 10:37:40:033',1,0.655295,0.774462,0,0.602113,0.750372,-0.023299,0.552974,0.717986,-0.039451,0.511403,0.696754,-0.055368,0.47559,0.691313,-0.072412,0.597727,0.611471,-0.020737,0.578523,0.547725,-0.034164,0.567728,0.506371,-0.047207,0.55966,0.471138,-0.057725,0.634208,0.597578,-0.021317,0.632842,0.526366,-0.029458,0.631249,0.483043,-0.038265,0.630654,0.448985,-0.046854,0.668241,0.605637,-0.025265,0.680247,0.54536,-0.035266,0.687389,0.507702,-0.045765,0.693095,0.476059,-0.054585,0.696668,0.629526,-0.031872,0.722805,0.595012,-0.041166,0.739597,0.570561,-0.04685,0.752784,0.547186,-0.05171,1,0,0
4,'2026/05/06 10:37:40:062',1,0.654067,0.773563,0,0.601975,0.749408,-0.02288,0.55323,0.717907,-0.039246,0.512258,0.696608,-0.05555,0.477026,0.689345,-0.073,0.598054,0.611469,-0.020456,0.578468,0.54824,-0.034142,0.56767,0.507445,-0.047609,0.559863,0.472702,-0.058335,0.634329,0.597167,-0.021186,0.632915,0.525567,-0.029203,0.631693,0.48241,-0.037919,0.631378,0.449072,-0.046388,0.668331,0.605006,-0.02523,0.680237,0.544325,-0.034857,0.687727,0.507535,-0.044866,0.69367,0.477048,-0.053314,0.696811,0.628714,-0.031941,0.722429,0.594294,-0.040927,0.73908,0.570232,-0.046131,0.752224,0.547381,-0.050525,1,0,0
5,'2026/05/06 10:37:40:096',1,0.654872,0.773787,0,0.602136,0.749533,-0.023145,0.552953,0.716934,-0.039349,0.511345,0.695628,-0.055384,0.47563,0.689837,-0.072555,0.597674,0.611277,-0.020962,0.578406,0.547699,-0.034974,0.567442,0.506849,-0.048521,0.559076,0.472015,-0.059229,0.634088,0.596717,-0.021604,0.632846,0.525471,-0.029862,0.630988,0.482227,-0.038716,0.630099,0.448077,-0.047254,0.668152,0.604199,-0.025573,0.680168,0.543559,-0.035303,0.686891,0.506172,-0.045343,0.692149,0.474997,-0.05384,0.696555,0.627992,-0.03225,0.722561,0.594073,-0.041165,0.739023,0.56967,-0.046394,0.751845,0.546721,-0.05086,1,0,0
6,'2026/05/06 10:37:40:125',1,0.653601,0.772451,0,0.601938,0.748448,-0.023531,0.553415,0.717116,-0.04036,0.513112,0.696819,-0.05704,0.478036,0.690219,-0.074889,0.597461,0.610216,-0.021829,0.577836,0.547036,-0.03612,0.56681,0.506386,-0.049791,0.558675,0.471539,-0.060566,0.633819,0.596207,-0.02247,0.632231,0.52506,-0.031335,0.630256,0.481928,-0.04043,0.629355,0.448163,-0.049053,0.667757,0.604169,-0.026435,0.679891,0.543881,-0.036907,0.686747,0.507278,-0.047138,0.692193,0.476843,-0.055523,0.696022,0.627893,-0.033064,0.721902,0.593306,-0.042373,0.738605,0.5692,-0.047643,0.751682,0.546367,-0.052048,1,0,0
7,'2026/05/06 10:37:40:174',1,0.654232,0.772616,0,0.601832,0.748696,-0.024242,0.553034,0.716536,-0.040816,0.511488,0.695643,-0.057085,0.476058,0.689882,-0.074355,0.597044,0.610175,-0.021233,0.577718,0.54737,-0.035164,0.566749,0.506921,-0.048554,0.558556,0.472154,-0.059118,0.633713,0.595736,-0.021342,0.632189,0.524706,-0.029664,0.630182,0.48152,-0.0382,0.629145,0.447559,-0.046318,0.667966,0.603505,-0.024941,0.679436,0.543331,-0.034939,0.686108,0.506688,-0.044529,0.691566,0.476031,-0.052334,0.696481,0.626945,-0.031354,0.721763,0.592345,-0.040151,0.738064,0.568209,-0.04493,0.751002,0.545313,-0.048891,1,0,0
8,'2026/05/06 10:37:40:213',1,0.656036,0.772159,0,0.603499,0.749153,-0.024114,0.553585,0.716591,-0.040811,0.510468,0.695175,-0.057047,0.474398,0.688838,-0.074336,0.597351,0.609622,-0.023213,0.577529,0.545736,-0.037742,0.56647,0.504876,-0.051244,0.55825,0.470146,-0.061827,0.63348,0.595166,-0.023284,0.631416,0.525059,-0.031822,0.629506,0.481811,-0.040422,0.628669,0.447517,-0.04876,0.667436,0.603048,-0.026684,0.679453,0.543439,-0.036609,0.685472,0.506372,-0.046217,0.689998,0.47492,-0.054382,0.69595,0.627432,-0.032845,0.722078,0.593995,-0.042043,0.738009,0.568817,-0.047314,0.75049,0.54435,-0.051707,1,0,0
9,'2026/05/06 10:37:40:251',1,0.655873,0.772101,0,0.603439,0.748289,-0.023969,0.553541,0.716051,-0.04052,0.510235,0.695177,-0.056791,0.474084,0.689007,-0.074188,0.597045,0.61046,-0.021899,0.577577,0.546653,-0.036167,0.566324,0.505838,-0.0498,0.557765,0.470594,-0.060585,0.633374,0.595673,-0.022162,0.63147,0.525119,-0.030589,0.629066,0.482151,-0.039561,0.627729,0.447539,-0.048196,0.667549,0.603153,-0.025806,0.678936,0.542525,-0.035753,0.685174,0.50528,-0.045722,0.690086,0.473675,-0.054086,0.696055,0.626858,-0.032216,0.721651,0.592777,-0.041124,0.737632,0.56853,-0.046206,0.750051,0.545538,-0.050519,1,0,0
10,'2026/05/06 10:37:40:282',1,0.653803,0.770621,0,0.601413,0.746687,-0.02366,0.552464,0.71468,-0.040108,0.511557,0.694342,-0.056334,0.476207,0.689429,-0.07362,0.596592,0.608337,-0.02097,0.576907,0.545671,-0.034711,0.565949,0.505293,-0.047938,0.557596,0.470782,-0.058434,0.633073,0.594021,-0.021278,0.631414,0.522892,-0.029425,0.629486,0.480071,-0.037839,0.628393,0.446764,-0.045963,0.667342,0.60193,-0.025003,0.678584,0.541277,-0.03471,0.685279,0.504438,-0.044239,0.690606,0.473948,-0.052189,0.696087,0.625838,-0.031487,0.721302,0.591149,-0.04002,0.737536,0.567122,-0.044721,0.750301,0.544479,-0.048748,1,0,0
