@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2026/05/14 11:50:15:420',1,0.760531,0.888195,0,0.56643,0.721371,-0.070344,0.700715,0.682129,-0.015145,0.66763,0.506619,-0.049526,0.739924,0.672075,-0.013203,0.741315,0.488941,-0.031703,0.776103,0.686502,-0.015819,0.773719,0.523959,-0.035374,0.810235,0.716162,-0.022047,0.836816,0.596692,-0.03328,1,0,0
2,'2026/05/14 11:50:15:453',1,0.761343,0.888204,0,0.567953,0.722928,-0.064012,0.701106,0.681353,-0.010113,0.668062,0.507063,-0.04114,0.740316,0.671164,-0.008358,0.741371,0.489471,-0.023398,0.776404,0.685845,-0.011258,0.774392,0.524069,-0.028198,0.810515,0.715185,-0.017737,0.837361,0.596013,-0.026268,1,0,0
3,'2026/05/14 11:50:15:486',1,0.761448,0.887509,0,0.566988,0.721415,-0.071217,0.700788,0.682972,-0.015846,0.667486,0.507968,-0.051196,0.740304,0.672325,-0.013754,0.74048,0.488754,-0.034008,0.776747,0.686453,-0.016145,0.773627,0.524482,-0.037854,0.810723,0.715843,-0.022073,0.836761,0.59767,-0.034762,1,0,0
4,'2026/05/14 11:50:15:540',1,0.760608,0.887731,0,0.567154,0.721884,-0.066648,0.700775,0.682043,-0.0124,0.667769,0.507523,-0.04605,0.739726,0.671765,-0.011032,0.741381,0.489625,-0.029983,0.775618,0.686215,-0.01416,0.773983,0.523445,-0.034586,0.809441,0.715954,-0.020747,0.837015,0.597348,-0.031937,1,0,0
5,'2026/05/14 11:50:15:583',1,0.760554,0.889799,0,0.566602,0.721378,-0.07079,0.700801,0.682045,-0.014932,0.667806,0.508153,-0.051096,0.740495,0.6718,-0.013444,0.740767,0.489164,-0.033989,0.776907,0.686398,-0.016518,0.774199,0.523202,-0.037914,0.810917,0.716814,-0.023188,0.836588,0.59718,-0.035746,1,0,0
6,'2026/05/14 11:50:15:632',1,0.760948,0.888662,0,0.565159,0.719955,-0.071573,0.700872,0.683972,-0.015649,0.667546,0.506222,-0.049125,0.740749,0.673012,-0.012603,0.741182,0.48877,-0.0314,0.777319,0.686381,-0.014179,0.773956,0.524037,-0.035555,0.811772,0.715091,-0.019407,0.836754,0.597717,-0.031659,1,0,0
7,'2026/05/14 11:50:15:675',1,0.76049,0.8887,0,0.566004,0.721477,-0.071863,0.700484,0.682044,-0.016199,0.667367,0.507041,-0.051827,0.739992,0.671717,-0.014201,0.741927,0.488758,-0.032781,0.776534,0.686181,-0.016764,0.774624,0.523956,-0.035589,0.810712,0.716151,-0.023018,0.836469,0.597168,-0.033352,1,0,0
8,'2026/05/14 11:50:15:704',1,0.760375,0.889526,0,0.566306,0.721302,-0.070039,0.700538,0.682346,-0.014818,0.667619,0.506779,-0.048517,0.739945,0.672302,-0.012693,0.741398,0.489242,-0.030647,0.776104,0.686854,-0.015212,0.773551,0.524619,-0.034921,0.809982,0.716512,-0.021344,0.835935,0.597232,-0.032635,1,0,0
9,'2026/05/14 11:50:15:735',1,0.760416,0.888874,0,0.565455,0.720841,-0.070813,0.700645,0.683064,-0.016175,0.66726,0.507375,-0.051181,0.739889,0.672703,-0.013885,0.740983,0.489461,-0.032204,0.776122,0.686905,-0.016148,0.773843,0.524146,-0.03561,0.810096,0.716486,-0.022077,0.836212,0.597521,-0.032999,1,0,0
10,'2026/05/14 11:50:15:766',1,0.759347,0.888157,0,0.565802,0.721122,-0.072504,0.700322,0.682846,-0.016136,0.667075,0.507526,-0.052369,0.739778,0.672105,-0.014216,0.740209,0.4888,-0.035068,0.776207,0.685919,-0.016823,0.772556,0.523472,-0.038931,0.810455,0.715332,-0.023014,0.83589,0.597092,-0.035957,1,0,0
11,'2026/05/14 11:50:15:799',1,0.760651,0.888029,0,0.565157,0.720527,-0.070967,0.700193,0.68255,-0.014791,0.66713,0.50712,-0.048669,0.73978,0.671472,-0.012257,0.74064,0.488677,-0.03004,0.776258,0.684851,-0.014372,0.773613,0.523378,-0.033982,0.810543,0.713693,-0.020187,0.835688,0.597008,-0.031267,1,0,0
