@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2026/05/14 12:03:19:071',1,0.721379,0.92546,0,0.597505,0.432392,-0.08685,0.910648,0.560023,-0.102258,1,0,0
2,'2026/05/14 12:03:19:100',1,0.721585,0.926617,0,0.596658,0.432295,-0.086051,0.911728,0.559604,-0.102748,1,0,0
3,'2026/05/14 12:03:19:132',1,0.720669,0.925699,0,0.596985,0.432109,-0.085457,0.910248,0.56,-0.100723,1,0,0
4,'2026/05/14 12:03:19:164',1,0.719313,0.927483,0,0.596842,0.431822,-0.086052,0.909659,0.558835,-0.0998,1,0,0
5,'2026/05/14 12:03:19:196',1,0.717364,0.927355,0,0.597343,0.432651,-0.085411,0.909096,0.557931,-0.100063,1,0,0
6,'2026/05/14 12:03:19:254',1,0.718501,0.92808,0,0.595857,0.432849,-0.08684,0.909348,0.559446,-0.101891,1,0,0
7,'2026/05/14 12:03:19:293',1,0.718893,0.926888,0,0.596386,0.432003,-0.084416,0.909028,0.558588,-0.100615,1,0,0
8,'2026/05/14 12:03:19:325',1,0.71856,0.92851,0,0.596375,0.434102,-0.083303,0.908624,0.557927,-0.098675,1,0,0
9,'2026/05/14 12:03:19:353',1,0.719395,0.926635,0,0.596337,0.432402,-0.085962,0.909166,0.558855,-0.101189,1,0,0
10,'2026/05/14 12:03:19:383',1,0.718353,0.927284,0,0.596942,0.432482,-0.086648,0.908633,0.558231,-0.100255,1,0,0
11,'2026/05/14 12:03:19:416',1,0.718391,0.928677,0,0.596974,0.431293,-0.086117,0.909252,0.557133,-0.098237,1,0,0
12,'2026/05/14 12:03:19:461',1,0.71771,0.92786,0,0.59708,0.431806,-0.085365,0.909219,0.558083,-0.099419,1,0,0
13,'2026/05/14 12:03:19:495',1,0.719359,0.927311,0,0.59616,0.434065,-0.083959,0.910347,0.558354,-0.09946,1,0,0
14,'2026/05/14 12:03:19:526',1,0.720564,0.926734,0,0.597489,0.433166,-0.087782,0.910238,0.559384,-0.101215,1,0,0
15,'2026/05/14 12:03:19:558',1,0.721769,0.922645,0,0.596173,0.434365,-0.085229,0.910915,0.559752,-0.102416,1,0,0
16,'2026/05/14 12:03:19:609',1,0.719682,0.927328,0,0.596419,0.435147,-0.082091,0.910634,0.557908,-0.098969,1,0,0
17,'2026/05/14 12:03:19:635',1,0.718429,0.927114,0,0.597649,0.432099,-0.086653,0.909132,0.55643,-0.098657,1,0,0
